Name,Brand,Model,Cores,Threads,Base Clock,Turbo Clock,Socket,TDP,L3 Cache,Process,Integrated Graphics,Cooler Included,Seller,Seller_Product_URL,Availability,Price
AMD EPYC 4345P,AMD,100-100001556WOF,8.0,16.0,3800.0,5500.0,AM5,65.0,32.0,5 nm,Radeon,No,Newegg,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3dN82E16819113891%26ignorebbr%3d1,Out of Stock,319.99
AMD EPYC 4364P,AMD,100-100001477WOF,8.0,16.0,4.5,5400.0,AM5,105.0,32.0,5 nm,Radeon,No,Newegg,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3dN82E16819113833%26ignorebbr%3d1,In Stock,328.18
AMD EPYC 4464P,AMD,100-100001478WOF,12.0,24.0,3.7,5400.0,AM5,65.0,64.0,5 nm,Radeon,No,Newegg,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3dN82E16819113831%26ignorebbr%3d1,In Stock,442.99
AMD EPYC 4464P,AMD,100-100001478WOF,12.0,24.0,3.7,5400.0,AM5,65.0,64.0,5 nm,Radeon,No,BestBuy,https://bestbuy.7tiv.net/c/2632153/2711001/10014?prodsku=11061385&u=https%3A%2F%2Fwww.bestbuy.com%2Fproduct%2Famd-cpu-100-100001478wof-epyc-4464p-12c-24t-5-4ghz-64mb-retail%2FJXKQHH584F&intsrc=CATF_21610,In Stock,466.56
AMD EPYC 4465P,AMD,100-100001558WOF,12.0,24.0,3.4,5400.0,AM5,65.0,64.0,5 nm,Radeon,No,Newegg,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3dN82E16819113894%26ignorebbr%3d1,Out of Stock,459.99
AMD EPYC 4465P,AMD,100-100001558WOF,12.0,24.0,3.4,5400.0,AM5,65.0,64.0,5 nm,Radeon,No,Amazon.com,https://www.amazon.com/dp/B0FND7QJW1?tag=pangoly0b-20,In Stock,480.47
AMD EPYC 4545P,AMD,100-100001764WOF,16.0,32.0,3.0,5400.0,AM5,65.0,64.0,5 nm,Radeon,No,Newegg,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3dN82E16819113893%26ignorebbr%3d1,Out of Stock,559.99
AMD EPYC 4564P,AMD,100-100001476WOF,16.0,32.0,4500.0,4.5,AM5,170.0,64.0,5 nm,Radeon,No,Newegg Sellers,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3d9SIA0ZXK8R3987%26ignorebbr%3d1,In Stock,642.99
AMD EPYC 4564P,AMD,100-100001476WOF,16.0,32.0,4500.0,4.5,AM5,170.0,64.0,5 nm,Radeon,No,Newegg,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3dN82E16819113829%26ignorebbr%3d1,In Stock,699.99
AMD EPYC 4565P,AMD,100-100001559WOF,16.0,32.0,4300.0,5700.0,AM5,170.0,64.0,5 nm,Radeon,No,Newegg,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3dN82E16819113890%26ignorebbr%3d1,Out of Stock,569.99
AMD EPYC 4585PX,AMD,100-100001561WOF,16.0,32.0,4.3,5700.0,AM5,170.0,128.0,5 nm,Radeon,No,Newegg,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3dN82E16819113895%26ignorebbr%3d1,In Stock,719.99
AMD EPYC 4585PX,AMD,100-100001561WOF,16.0,32.0,4.3,5700.0,AM5,170.0,128.0,5 nm,Radeon,No,Amazon.com,https://www.amazon.com/dp/B0FMRX1XQS?tag=pangoly0b-20,In Stock,828.61
AMD Ryzen 3 1200208th / 575,AMD,YD1200BBAEBOX,4.0,4.0,3100.0,3.4,AM4,65.0,10.0,14 nm,,Yes,Amazon.com,https://www.amazon.com/dp/B0741DN383?tag=pangoly0b-20,In Stock,79.99
AMD Ryzen 3 1200208th / 575,AMD,YD1200BBAEBOX,4.0,4.0,3100.0,3.4,AM4,65.0,10.0,14 nm,,Yes,Newegg Sellers,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3d9SIA4REDNW9319%26ignorebbr%3d1,In Stock,183.39
AMD Ryzen 3 1200 AF,AMD,YD1200BBAFBOX,4.0,4.0,3100.0,3400.0,AM4,65.0,8.0,12 nm,,Yes,Newegg Sellers,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3d9SIABT1H182221%26ignorebbr%3d1,Out of Stock,99.99
AMD Ryzen 3 1300X196th / 575,AMD,YD130XBBAEBOX,4.0,4.0,3500.0,3.7,AM4,65.0,10.0,14 nm,,Yes,Newegg Sellers,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3d9SIAGKCFD31668%26ignorebbr%3d1,Out of Stock,49.99
AMD Ryzen 3 2200G215th / 575,AMD,YD2200C5FBBOX,4.0,4.0,3500.0,3.7,TYPE,65.0,4.0,14 nm,Radeon Vega 8,Yes,Newegg Sellers,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3d9SIASGMJNE1918%26ignorebbr%3d1,Out of Stock,57.49
AMD Ryzen 3 3100162nd / 575,AMD,100-100000284BOX,4.0,8.0,3.9,3900.0,AM4,65.0,16.0,7 nm,,Yes,Amazon.com,https://www.amazon.com/dp/B0876Y2TMZ?tag=pangoly0b-20,In Stock,95.43
AMD Ryzen 3 3200G184th / 575,AMD,YD3200C5FHBOX,4.0,4.0,4.0,4000.0,AM4,65.0,6.0,7 nm,Radeon Vega 8,Yes,Newegg Sellers,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3d9SIC3CPKMJ8718%26ignorebbr%3d1,In Stock,65.0
AMD Ryzen 3 3200G184th / 575,AMD,YD3200C5FHBOX,4.0,4.0,4.0,4000.0,AM4,65.0,6.0,7 nm,Radeon Vega 8,Yes,Amazon.com,https://www.amazon.com/dp/B07STGHZK8?tag=pangoly0b-20,In Stock,67.0
