Product_URL,Product_Name,Seller,Seller_Product_URL,Availability,Price,Shipping,Currency
https://pangoly.com/en/product/corsair-vengeance-128gb-2x64gb-ddr5-6400mhz,CORSAIR Vengeance 128GB (2x64GB) DDR5 6400MHz,Amazon.com,https://www.amazon.com/dp/B0F943FMNC?tag=pangoly0b-20,In Stock,433.99,,USD
https://pangoly.com/en/product/corsair-vengeance-128gb-2x64gb-ddr5-6400mhz,CORSAIR Vengeance 128GB (2x64GB) DDR5 6400MHz,Corsair,https://go.corsair.com/c/2632153/497986/8513?prodsku=CMK128GX5M2B6400C42&u=https%3A%2F%2Fwww.corsair.com%2Fus%2Fen%2Fp%2Fmemory%2FCMK128GX5M2B6400C42%2Fvengeance-128gb-2x64gb-ddr5-dram-6400mts-cl42-intel-xmp-memory-kit-cmk128gx5m2b6400c42&intsrc=CATF_3903,Out of Stock,556.99,+Free,USD
https://pangoly.com/en/product/corsair-vengeance-128gb-2x64gb-ddr5-6400mhz,CORSAIR Vengeance 128GB (2x64GB) DDR5 6400MHz,Newegg,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3dN82E16820982274%26ignorebbr%3d1,In Stock,559.99,+Free,USD
https://pangoly.com/en/product/corsair-vengeance-rgb-128gb-2x64gb-ddr5-6400mhz,CORSAIR Vengeance RGB 128GB (2x64GB) DDR5 6400MHz,Amazon.com,https://www.amazon.com/dp/B0F9448K9C?tag=pangoly0b-20,In Stock,445.99,,USD
https://pangoly.com/en/product/corsair-vengeance-rgb-128gb-2x64gb-ddr5-6400mhz,CORSAIR Vengeance RGB 128GB (2x64GB) DDR5 6400MHz,Newegg,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3dN82E16820982275%26ignorebbr%3d1,In Stock,539.99,+Free,USD
https://pangoly.com/en/product/corsair-vengeance-rgb-128gb-2x64gb-ddr5-6400mhz,CORSAIR Vengeance RGB 128GB (2x64GB) DDR5 6400MHz,Corsair,https://go.corsair.com/c/2632153/497986/8513?prodsku=CMH128GX5M2B6400C42&u=https%3A%2F%2Fwww.corsair.com%2Fus%2Fen%2Fp%2Fmemory%2FCMH128GX5M2B6400C42%2Fvengeance-rgb-128gb-2x64gb-ddr5-dram-6400mts-cl42-intel-xmp-memory-kit-cmh128gx5m2b6400c42&intsrc=CATF_3903,In Stock,568.99,+Free,USD
https://pangoly.com/en/product/kingston-fury-beast-128gb-2x64gb-ddr5-5600,Kingston Fury Beast 128GB (2x64GB) DDR5 5600,Newegg,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3d0RN-001J-015D2%26ignorebbr%3d1,In Stock,464.99,+Free,USD
https://pangoly.com/en/product/kingston-fury-beast-128gb-2x64gb-ddr5-5600,Kingston Fury Beast 128GB (2x64GB) DDR5 5600,Amazon.com,https://www.amazon.com/dp/B0F8P1YSS5?tag=pangoly0b-20,In Stock,490.77,-,USD
https://pangoly.com/en/product/kingston-fury-beast-rgb-128gb-2x64gb-ddr5-5600,Kingston Fury Beast RGB 128GB (2x64GB) DDR5 5600,Newegg Sellers,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3d9SIA8H5KKD1539%26ignorebbr%3d1,Out of Stock,459.32,+Free,USD
https://pangoly.com/en/product/kingston-fury-beast-rgb-128gb-2x64gb-ddr5-5600,Kingston Fury Beast RGB 128GB (2x64GB) DDR5 5600,Amazon.com,https://www.amazon.com/dp/B0F8P6VRQT?tag=pangoly0b-20,In Stock,630.14,-,USD
https://pangoly.com/en/product/kingston-fury-beast-128gb-2x64gb-ddr5-5600-cl40,Kingston Fury Beast 128GB (2x64GB) DDR5 5600 CL40,Newegg,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3d0RN-001J-015F2%26ignorebbr%3d1,Out of Stock,389.00,+Free,USD
